timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671634814719,2782,post-register,201,Created,NormalTest 1-38,text,false,"The operation lasted too long: It took 2,782 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,881,65,65,https://market-final-project.herokuapp.com/auth/register,2782,0,988
1671634815692,1827,get-seller-product,200,OK,NormalTest 1-2,text,true,,716,466,66,66,https://market-final-project.herokuapp.com/seller/product,1827,0,0
1671634814581,2964,post-seller-product,201,Created,NormalTest 1-15,text,false,"The operation lasted too long: It took 2,964 milliseconds, but should not have lasted longer than 2,000 milliseconds.",675,124328,66,66,https://market-final-project.herokuapp.com/seller/product,2964,0,0
1671634815919,1645,post-register,201,Created,NormalTest 1-50,text,true,,574,901,66,66,https://market-final-project.herokuapp.com/auth/register,1645,0,774
1671634815493,2071,post-seller-product,201,Created,NormalTest 1-20,text,false,"The operation lasted too long: It took 2,071 milliseconds, but should not have lasted longer than 2,000 milliseconds.",675,124310,66,66,https://market-final-project.herokuapp.com/seller/product,2071,0,0
1671634816487,1078,get-seller-product-id,200,OK,NormalTest 1-3,text,true,,714,472,66,66,https://market-final-project.herokuapp.com/seller/product/41111,1078,0,0
1671634816118,1449,post-register,201,Created,NormalTest 1-52,text,true,,574,881,66,66,https://market-final-project.herokuapp.com/auth/register,1449,0,735
1671634814936,2646,post-seller-product,201,Created,NormalTest 1-19,text,false,"The operation lasted too long: It took 2,646 milliseconds, but should not have lasted longer than 2,000 milliseconds.",675,124319,66,66,https://market-final-project.herokuapp.com/seller/product,2646,0,0
1671634816019,1567,post-register,201,Created,NormalTest 1-51,text,true,,573,875,66,66,https://market-final-project.herokuapp.com/auth/register,1567,0,854
1671634814818,2782,post-register,201,Created,NormalTest 1-39,text,false,"The operation lasted too long: It took 2,782 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,901,66,66,https://market-final-project.herokuapp.com/auth/register,2782,0,1313
1671634816162,1442,get-seller-product,200,OK,NormalTest 1-1,text,true,,716,466,66,66,https://market-final-project.herokuapp.com/seller/product,1442,0,0
1671634816820,821,get-seller-product-id,200,OK,NormalTest 1-12,text,true,,714,472,67,67,https://market-final-project.herokuapp.com/seller/product/41113,821,0,0
1671634815889,1764,post-seller-product,201,Created,NormalTest 1-23,text,true,,675,124274,67,67,https://market-final-project.herokuapp.com/seller/product,1764,0,0
1671634816468,1234,post login,201,Created,NormalTest 1-31,text,true,,525,388,67,67,https://market-final-project.herokuapp.com/auth/login,1234,0,0
1671634817198,586,post login,201,Created,NormalTest 1-46,text,true,,525,388,68,68,https://market-final-project.herokuapp.com/auth/login,586,0,0
1671634816513,1322,post login,201,Created,NormalTest 1-37,text,true,,522,386,69,69,https://market-final-project.herokuapp.com/auth/login,1322,0,0
1671634815618,2326,post-register,201,Created,NormalTest 1-47,text,false,"The operation lasted too long: It took 2,326 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,906,70,70,https://market-final-project.herokuapp.com/auth/register,2326,0,1609
1671634816219,1728,post-register,201,Created,NormalTest 1-53,text,true,,574,896,70,70,https://market-final-project.herokuapp.com/auth/register,1728,0,747
1671634816518,1430,post-register,201,Created,NormalTest 1-56,text,true,,574,911,70,70,https://market-final-project.herokuapp.com/auth/register,1430,0,760
1671634817095,891,get-seller-product,200,OK,NormalTest 1-22,text,true,,716,466,70,70,https://market-final-project.herokuapp.com/seller/product,891,0,0
